# Wind Included (Up to date)
# 389 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (65.7 ft/s)
#
# Time (s),Altitude (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
7.454,1297.338,4.697
7.504,1300.321,4.68
7.554,1303.221,4.663
7.604,1306.04,4.645
7.654,1308.778,4.627
7.704,1311.433,4.609
7.754,1314.008,4.591
7.804,1316.5,4.572
7.854,1318.912,4.552
7.904,1321.242,4.532
7.954,1323.491,4.511
8.004,1325.66,4.489
8.054,1327.747,4.465
8.104,1329.754,4.44
8.154,1331.68,4.413
8.204,1333.526,4.384
8.254,1335.291,4.354
8.304,1336.976,4.321
8.354,1338.581,4.287
8.404,1340.105,4.25
8.454,1341.55,4.211
8.504,1342.915,4.17
8.554,1344.2,4.127
8.604,1345.406,4.083
8.654,1346.532,4.037
8.704,1347.579,3.989
8.754,1348.547,3.941
8.804,1349.435,3.893
8.854,1350.245,3.844
8.904,1350.976,3.795
8.954,1351.629,3.747
9.004,1352.203,3.701
9.054,1352.699,3.656
9.104,1353.117,3.613
9.154,1353.457,3.572
9.204,1353.719,3.535
9.254,1353.903,3.501
9.304,1354.01,3.471
# Event APOGEE occurred at t=9.354 seconds
9.354,1354.04,3.446
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=9.355 seconds
9.404,1353.993,3.426
9.409,1353.984,NaN
9.643,1352.682,NaN
9.901,1349.319,NaN
10.225,1342.479,NaN
10.564,1332.444,NaN
10.884,1320.644,NaN
11.195,1307.345,NaN
# Event EJECTION_CHARGE occurred at t=11.207 seconds
11.515,1292.078,NaN
11.862,1274.106,NaN
12.256,1252.281,NaN
12.729,1224.68,NaN
13.229,1194.398,NaN
13.729,1163.432,NaN
14.229,1132.082,NaN
14.729,1100.522,NaN
15.229,1068.851,NaN
15.729,1037.125,NaN
16.229,1005.375,NaN
16.729,973.618,NaN
17.229,941.864,NaN
17.729,910.119,NaN
18.229,878.385,NaN
18.729,846.664,NaN
19.229,814.956,NaN
19.729,783.263,NaN
20.229,751.583,NaN
20.729,719.919,NaN
21.229,688.269,NaN
21.729,656.634,NaN
22.229,625.013,NaN
22.729,593.407,NaN
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=22.73 seconds
23.229,561.815,NaN
23.244,560.916,NaN
23.25,560.529,NaN
23.257,560.112,NaN
23.264,559.683,NaN
23.272,559.24,NaN
23.28,558.784,NaN
23.288,558.312,NaN
23.296,557.824,NaN
23.305,557.319,NaN
23.315,556.795,NaN
23.325,556.251,NaN
23.335,555.686,NaN
23.346,555.098,NaN
23.358,554.485,NaN
23.371,553.844,NaN
23.384,553.174,NaN
