# 5 foot rail, H182R (Up to date)
# 304 data points written for 3 variables.
#
# Time (s),Altitude (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
11.564,559.643,NaN
11.576,559.063,NaN
11.587,558.457,NaN
11.6,557.824,NaN
11.614,557.161,NaN
11.628,556.465,NaN
11.644,555.732,NaN
11.66,554.959,NaN
11.678,554.141,NaN
11.698,553.272,NaN
11.719,552.346,NaN
11.742,551.356,NaN
11.767,550.292,NaN
11.795,549.142,NaN
11.826,547.893,NaN
11.861,546.525,NaN
11.9,545.015,NaN
11.945,543.333,NaN
11.997,541.435,NaN
12.059,539.262,NaN
12.133,536.726,NaN
12.224,533.694,NaN
12.34,529.943,NaN
12.495,525.078,NaN
12.718,518.287,NaN
13.08,507.545,NaN
13.58,492.916,NaN
14.08,478.328,NaN
14.58,463.738,NaN
15.08,449.152,NaN
# Event EJECTION_CHARGE occurred at t=15.235 seconds
15.58,434.568,NaN
16.08,419.988,NaN
16.58,405.411,NaN
17.08,390.837,NaN
17.58,376.265,NaN
18.08,361.697,NaN
18.58,347.132,NaN
19.08,332.57,NaN
19.58,318.011,NaN
20.08,303.455,NaN
20.58,288.903,NaN
21.08,274.353,NaN
21.58,259.806,NaN
22.08,245.262,NaN
22.58,230.721,NaN
23.08,216.184,NaN
23.58,201.649,NaN
24.08,187.117,NaN
24.58,172.589,NaN
25.08,158.063,NaN
25.58,143.54,NaN
26.08,129.021,NaN
26.58,114.504,NaN
27.08,99.991,NaN
27.58,85.48,NaN
28.08,70.972,NaN
28.58,56.468,NaN
29.08,41.966,NaN
29.58,27.467,NaN
30.08,12.972,NaN
# Event GROUND_HIT occurred at t=30.528 seconds
# Event SIMULATION_END occurred at t=30.528 seconds
30.528,0,NaN
