Time	Actual	Regression Fit
12.1	529	533.7918377
12.15	526	531.7805998
12.2	521	529.7756211
12.25	517	527.7768703
12.3	517	525.7843161
12.35	516	523.7979272
12.4	514	521.8176723
12.45	512	519.8435202
12.5	508	517.8754395
12.55	507	515.913399
12.6	506	513.9573673
12.65	502	512.0073132
12.7	501	510.0632054
12.75	504	508.1250126
12.8	498	506.1927035
12.85	502	504.2662469
12.9	501	502.3456114
12.95	493	500.4307657
13	494	498.5216785
13.05	495	496.6183187
13.1	492	494.7206548
13.15	495	492.8286556
13.2	496	490.9422898
13.25	491	489.0615261
13.3	484	487.1863332
13.35	481	485.3166798
13.4	475	483.4525347
13.45	473	481.5938665
13.5	472	479.740644
13.55	471	477.8928359
13.6	468	476.0504108
13.65	462	474.2133376
13.7	461	472.3815848
13.75	458	470.5551213
13.8	459	468.7339157
13.85	461	466.9179367
13.9	462	465.107153
13.95	461	463.3015335
14	462	461.5010467
14.05	465	459.7056613
14.1	451	457.9153462
14.15	443	456.1300699
14.2	438	454.3498013
14.25	441	452.574509
14.3	439	450.8041617
14.35	433	449.0387282
14.4	431	447.2781771
14.45	432	445.5224772
14.5	429	443.7715972
14.55	428	442.0255057
14.6	426	440.2841716
14.65	423	438.5475634
14.7	422	436.81565
14.75	421	435.0884
14.8	420	433.3657821
14.85	420	431.6477651
14.9	420	429.9343176
14.95	418	428.2254085
15	416	426.5210063
15.05	415	424.8210797
15.1	411	423.1255976
15.15	413	421.4345287
15.2	415	419.7478415
15.25	418	418.0655049
15.3	415	416.3874875
15.35	413	414.7137581
15.4	413	413.0442853
15.45	413	411.3790379
15.5	413	409.7179846
15.55	412	408.0610942
15.6	413	406.4083352
15.65	410	404.7596764
15.7	408	403.1150866
15.75	406	401.4745344
15.8	400	399.8379886
15.85	401	398.2054178
15.9	397	396.5767909
15.95	392	394.9520764
16	392	393.3312431
16.05	389	391.7142597
16.1	390	390.1010949
16.15	393	388.4917174
16.2	393	386.886096
16.25	389	385.2841994
16.3	386	383.6859962
16.35	382	382.0914551
16.4	382	380.500545
16.45	381	378.9132345
16.5	375	377.3294922
16.55	370	375.749287
16.6	368	374.1725875
16.65	367	372.5993624
16.7	365	371.0295805
16.75	364	369.4632104
16.8	363	367.9002209
16.85	365	366.3405807
16.9	366	364.7842585
16.95	365	363.2312229
17	365	361.6814428
17.05	365	360.1348868
17.1	361	358.5915237
17.15	359	357.051322
17.2	358	355.5142507
17.25	356	353.9802783
17.3	355	352.4493735
17.35	350	350.9215052
17.4	348	349.3966419
17.45	347	347.8747525
17.5	348	346.3558056
17.55	349	344.8397699
17.6	348	343.3266141
17.65	346	341.816307
17.7	346	340.3088173
17.75	344	338.8041136
17.8	340	337.3021648
17.85	339	335.8029394
17.9	341	334.3064062
17.95	343	332.8125339
18	343	331.3212913
