# L1420 - 15 wind (Up to date)
# 738 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (91.1 ft/s)
#
# Time (s),Altitude (ft),Lateral distance (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.446e-4,1.265e-5,NaN
0.02,0.003,2.412e-4,NaN
0.03,0.014,0.001,NaN
0.04,0.039,0.003,NaN
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.083,0.007,NaN
0.06,0.146,0.013,NaN
0.07,0.23,0.02,NaN
0.08,0.335,0.029,NaN
0.09,0.46,0.04,NaN
0.1,0.607,0.053,NaN
0.11,0.777,0.068,NaN
0.12,0.969,0.085,NaN
0.13,1.183,0.104,NaN
0.14,1.422,0.124,NaN
0.15,1.683,0.147,NaN
0.16,1.967,0.172,NaN
0.17,2.275,0.199,NaN
0.18,2.606,0.228,NaN
0.19,2.96,0.259,NaN
0.2,3.337,0.292,NaN
0.21,3.737,0.327,NaN
0.22,4.161,0.364,NaN
0.23,4.607,0.403,NaN
0.24,5.077,0.444,NaN
0.25,5.57,0.487,NaN
0.26,6.086,0.532,NaN
0.27,6.625,0.58,NaN
0.28,7.187,0.629,NaN
0.29,7.772,0.68,NaN
0.3,8.38,0.733,NaN
0.31,9.011,0.788,NaN
0.32,9.665,0.846,NaN
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,10.342,0.905,NaN
0.345,11.401,0.997,0.867
0.368,13.086,1.142,0.965
0.401,15.832,1.373,1.112
0.451,20.38,1.747,1.381
0.501,25.501,2.161,1.654
0.551,31.192,2.615,1.748
0.601,37.457,3.113,1.9
0.651,44.297,3.66,2.151
0.701,51.716,4.262,2.365
0.751,59.715,4.931,2.618
0.801,68.296,5.679,2.903
0.851,77.461,6.522,3.188
0.901,87.208,7.477,3.394
0.951,97.539,8.561,3.659
1.001,108.451,9.795,3.55
1.051,119.943,11.196,3.313
1.101,132.015,12.784,3.215
1.15,144.423,14.541,3.168
1.192,155.459,16.205,3.154
1.23,165.772,17.843,3.173
1.266,175.857,19.517,3.235
1.302,186.409,21.339,3.347
1.343,198.666,23.533,3.511
1.393,214.142,26.404,3.707
1.443,230.219,29.481,3.881
1.493,246.903,32.749,3.821
1.543,264.201,36.196,3.733
1.593,282.112,39.808,3.667
1.637,298.301,43.098,3.667
1.677,313.322,46.168,3.692
1.715,328.416,49.267,3.753
1.76,346.104,52.92,3.873
1.81,366.629,57.199,4.027
1.86,387.738,61.655,3.934
1.91,409.421,66.306,3.851
1.947,425.879,69.891,3.821
1.977,439.479,72.889,3.886
2.014,456.303,76.639,3.978
2.064,479.708,81.918,4.075
2.114,503.661,87.378,4.117
2.164,528.158,93.005,4.046
2.214,553.192,98.781,4.057
2.261,577.247,104.351,4.121
2.311,603.298,110.41,4.192
2.361,629.857,116.621,4.236
2.411,656.911,122.988,4.233
2.461,684.45,129.512,4.217
2.511,712.462,136.199,4.22
2.561,740.939,143.046,4.274
2.611,769.873,150.047,4.308
2.661,799.261,157.188,4.28
2.711,829.096,164.457,4.285
2.758,857.462,171.384,4.344
2.808,888.14,178.902,4.386
2.858,919.238,186.561,4.373
2.908,950.745,194.367,4.396
2.958,982.647,202.318,4.433
3.008,1014.91,210.398,4.436
3.058,1047.433,218.566,4.451
3.108,1080.044,226.775,4.49
3.158,1112.586,234.986,4.478
3.208,1144.976,243.179,4.467
# Event BURNOUT occurred at t=3.24 seconds
3.24,1165.825,248.464,4.45
3.288,1196.938,256.37,4.484
3.338,1228.812,264.487,4.484
3.388,1260.483,272.566,4.463
3.438,1291.954,280.608,4.45
3.488,1323.226,288.609,4.445
3.538,1354.302,296.571,4.468
3.588,1385.182,304.498,4.433
3.638,1415.865,312.398,4.432
3.688,1446.353,320.272,4.467
3.738,1476.649,328.113,4.462
3.788,1506.756,335.92,4.424
3.838,1536.676,343.689,4.437
3.888,1566.41,351.422,4.458
3.938,1595.959,359.123,4.439
3.988,1625.322,366.797,4.407
4.038,1654.501,374.447,4.422
4.088,1683.497,382.071,4.408
4.138,1712.315,389.659,4.407
4.188,1740.956,397.21,4.421
4.238,1769.421,404.727,4.441
4.288,1797.71,412.215,4.419
4.338,1825.824,419.679,4.405
4.388,1853.761,427.12,4.387
4.438,1881.525,434.539,4.431
4.488,1909.117,441.932,4.4
4.538,1936.542,449.293,4.398
4.588,1963.799,456.62,4.393
4.638,1990.892,463.914,4.387
4.688,2017.82,471.175,4.422
4.738,2044.583,478.408,4.401
4.788,2071.182,485.618,4.381
4.838,2097.615,492.809,4.395
4.888,2123.885,499.978,4.412
4.938,2149.994,507.123,4.428
4.988,2175.944,514.243,4.408
5.038,2201.734,521.339,4.418
5.088,2227.367,528.41,4.379
5.138,2252.845,535.45,4.39
5.188,2278.17,542.462,4.379
5.238,2303.341,549.445,4.415
5.288,2328.359,556.403,4.402
5.338,2353.224,563.339,4.397
5.388,2377.936,570.254,4.379
5.438,2402.496,577.15,4.38
5.488,2426.905,584.026,4.392
5.538,2451.164,590.882,4.394
5.588,2475.276,597.712,4.357
5.638,2499.243,604.514,4.356
5.688,2523.066,611.287,4.382
5.738,2546.744,618.035,4.391
5.788,2570.276,624.763,4.341
5.838,2593.663,631.476,4.345
5.888,2616.904,638.174,4.361
5.938,2640.002,644.855,4.374
5.988,2662.957,651.517,4.389
6.038,2685.773,658.157,4.325
6.088,2708.452,664.769,4.307
6.138,2730.994,671.351,4.326
6.188,2753.401,677.907,4.4
6.238,2775.671,684.441,4.369
6.288,2797.802,690.959,4.329
6.338,2819.796,697.464,4.304
6.388,2841.651,703.957,4.325
6.438,2863.37,710.436,4.383
6.488,2884.955,716.895,4.36
6.538,2906.409,723.332,4.335
6.588,2927.731,729.746,4.366
6.638,2948.923,736.138,4.395
6.688,2969.984,742.512,4.38
6.738,2990.914,748.87,4.388
6.788,3011.715,755.21,4.377
6.838,3032.386,761.534,4.372
6.888,3052.929,767.838,4.363
6.938,3073.345,774.124,4.375
6.988,3093.634,780.391,4.387
7.038,3113.796,786.641,4.369
7.088,3133.833,792.875,4.335
7.138,3153.742,799.097,4.349
7.188,3173.526,805.305,4.347
7.238,3193.184,811.5,4.361
7.288,3212.72,817.677,4.314
7.338,3232.134,823.833,4.289
7.388,3251.428,829.967,4.319
7.438,3270.602,836.082,4.374
7.488,3289.654,842.182,4.304
7.538,3308.583,848.271,4.277
7.588,3327.39,854.352,4.357
7.638,3346.076,860.419,4.34
7.688,3364.644,866.469,4.31
7.738,3383.094,872.5,4.323
7.788,3401.428,878.513,4.357
7.838,3419.644,884.51,4.374
7.888,3437.743,890.493,4.339
7.938,3455.724,896.464,4.317
7.988,3473.587,902.423,4.357
8.038,3491.334,908.371,4.341
8.088,3508.965,914.306,4.359
8.138,3526.48,920.229,4.359
8.188,3543.882,926.137,4.331
8.238,3561.17,932.029,4.337
8.288,3578.345,937.905,4.343
8.338,3595.408,943.767,4.345
8.388,3612.359,949.614,4.372
8.438,3629.198,955.449,4.365
8.488,3645.924,961.27,4.363
8.538,3662.539,967.08,4.362
8.588,3679.043,972.876,4.365
8.638,3695.437,978.659,4.371
8.688,3711.72,984.43,4.356
8.738,3727.894,990.187,4.351
8.788,3743.959,995.931,4.307
8.838,3759.914,1001.666,4.303
8.888,3775.759,1007.391,4.275
8.938,3791.493,1013.109,4.339
8.988,3807.12,1018.816,4.35
9.038,3822.639,1024.51,4.32
9.088,3838.052,1030.191,4.306
9.138,3853.36,1035.857,4.298
9.188,3868.562,1041.51,4.287
9.238,3883.66,1047.147,4.274
9.288,3898.653,1052.77,4.298
9.338,3913.542,1058.379,4.348
9.388,3928.326,1063.978,4.293
9.438,3943.004,1069.568,4.28
9.488,3957.577,1075.151,4.326
9.538,3972.045,1080.724,4.287
9.588,3986.407,1086.289,4.264
9.638,4000.665,1091.847,4.284
9.688,4014.819,1097.398,4.293
9.738,4028.869,1102.941,4.259
9.788,4042.815,1108.477,4.355
9.838,4056.659,1114.003,4.287
9.888,4070.403,1119.517,4.197
9.938,4084.047,1125.015,4.184
9.988,4097.593,1130.498,4.204
10.038,4111.041,1135.966,4.252
10.088,4124.39,1141.421,4.235
10.138,4137.64,1146.863,4.281
10.188,4150.792,1152.293,4.291
10.238,4163.845,1157.711,4.311
10.288,4176.799,1163.118,4.356
10.338,4189.654,1168.517,4.268
10.388,4202.409,1173.908,4.181
10.438,4215.063,1179.295,4.152
10.488,4227.615,1184.679,4.208
10.538,4240.068,1190.058,4.202
10.588,4252.42,1195.433,4.175
10.638,4264.672,1200.803,4.195
10.688,4276.825,1206.169,4.271
10.738,4288.88,1211.529,4.352
10.788,4300.839,1216.88,4.305
10.838,4312.701,1222.222,4.279
10.888,4324.469,1227.553,4.177
10.938,4336.143,1232.873,4.133
10.988,4347.723,1238.178,4.072
11.038,4359.212,1243.468,4.068
11.088,4370.609,1248.744,4.089
11.138,4381.915,1254.005,4.115
11.188,4393.128,1259.253,4.181
11.238,4404.249,1264.489,4.329
11.288,4415.276,1269.717,4.329
11.338,4426.208,1274.937,4.312
11.388,4437.046,1280.151,4.262
11.438,4447.79,1285.359,4.231
11.488,4458.438,1290.561,4.239
11.538,4468.992,1295.758,4.251
11.588,4479.451,1300.95,4.255
11.638,4489.816,1306.136,4.223
11.688,4500.087,1311.316,4.255
11.738,4510.264,1316.491,4.225
11.788,4520.347,1321.66,4.238
11.838,4530.337,1326.825,4.202
11.888,4540.233,1331.984,4.203
11.938,4550.036,1337.139,4.272
11.988,4559.747,1342.289,4.25
12.038,4569.365,1347.433,4.322
12.088,4578.891,1352.57,4.313
12.138,4588.328,1357.7,4.204
12.188,4597.674,1362.821,4.1
12.238,4606.933,1367.931,4.036
12.288,4616.105,1373.028,4.074
12.338,4625.189,1378.115,4.134
12.388,4634.185,1383.191,4.213
12.438,4643.093,1388.26,4.318
12.488,4651.911,1393.321,4.337
12.538,4660.64,1398.376,4.321
12.588,4669.279,1403.425,4.327
12.638,4677.829,1408.469,4.312
12.688,4686.289,1413.507,4.29
12.738,4694.66,1418.539,4.3
12.788,4702.942,1423.566,4.292
12.838,4711.135,1428.586,4.277
12.888,4719.241,1433.599,4.3
12.938,4727.259,1438.606,4.255
12.988,4735.189,1443.605,4.249
13.038,4743.032,1448.598,4.339
13.088,4750.788,1453.585,4.297
13.138,4758.455,1458.566,4.211
13.188,4766.033,1463.543,4.229
13.238,4773.523,1468.516,4.259
13.288,4780.925,1473.484,4.325
13.338,4788.24,1478.447,4.327
13.388,4795.467,1483.404,4.319
13.438,4802.608,1488.356,4.279
13.488,4809.662,1493.301,4.246
13.538,4816.631,1498.241,4.293
13.588,4823.513,1503.174,4.262
13.638,4830.31,1508.101,4.137
13.688,4837.022,1513.021,4.075
13.738,4843.65,1517.933,4.08
13.788,4850.194,1522.837,4.182
13.838,4856.654,1527.734,4.244
13.888,4863.028,1532.626,4.297
13.938,4869.317,1537.512,4.337
13.988,4875.52,1542.392,4.297
14.038,4881.638,1547.269,4.249
14.088,4887.669,1552.141,4.254
14.138,4893.615,1557.009,4.206
