# L1420 - 10 wind (Up to date)
# 727 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (79.6 ft/s)
#
# Time (s),Altitude (ft),Lateral distance (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.446e-4,1.265e-5,NaN
0.02,0.003,2.412e-4,NaN
0.03,0.014,0.001,NaN
0.04,0.039,0.003,NaN
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.083,0.007,NaN
0.06,0.146,0.013,NaN
0.07,0.23,0.02,NaN
0.08,0.335,0.029,NaN
0.09,0.46,0.04,NaN
0.1,0.607,0.053,NaN
0.11,0.777,0.068,NaN
0.12,0.969,0.085,NaN
0.13,1.183,0.104,NaN
0.14,1.422,0.124,NaN
0.15,1.683,0.147,NaN
0.16,1.967,0.172,NaN
0.17,2.275,0.199,NaN
0.18,2.606,0.228,NaN
0.19,2.96,0.259,NaN
0.2,3.337,0.292,NaN
0.21,3.737,0.327,NaN
0.22,4.161,0.364,NaN
0.23,4.607,0.403,NaN
0.24,5.077,0.444,NaN
0.25,5.57,0.487,NaN
0.26,6.086,0.532,NaN
0.27,6.625,0.58,NaN
0.28,7.187,0.629,NaN
0.29,7.772,0.68,NaN
0.3,8.38,0.733,NaN
0.31,9.011,0.788,NaN
0.32,9.665,0.846,NaN
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,10.342,0.905,NaN
0.345,11.401,0.997,1.618
0.368,13.086,1.144,1.702
0.401,15.832,1.383,1.799
0.451,20.38,1.777,1.993
0.501,25.499,2.219,2.139
0.551,31.189,2.71,2.322
0.601,37.451,3.252,2.427
0.651,44.29,3.85,2.618
0.701,51.706,4.509,2.815
0.751,59.703,5.237,2.929
0.801,68.282,6.042,3.18
0.851,77.446,6.934,3.376
0.901,87.195,7.926,3.541
0.951,97.531,9.03,3.687
1.001,108.453,10.259,3.583
1.051,119.962,11.628,3.425
1.101,132.059,13.151,3.359
1.151,144.744,14.841,3.291
1.201,158.02,16.708,3.312
1.251,171.707,18.731,3.381
1.301,186.163,20.965,3.446
1.351,201.218,23.383,3.594
1.401,216.879,25.98,3.72
1.451,233.151,28.746,3.837
1.501,250.04,31.671,3.833
1.551,267.55,34.742,3.676
1.601,285.681,37.944,3.692
1.649,303.683,41.136,3.73
1.697,322.549,44.495,3.794
1.747,342.481,48.061,3.892
1.797,363.014,51.761,4.018
1.847,384.14,55.608,3.913
1.897,405.851,59.615,3.898
1.947,428.141,63.787,3.933
1.997,451.003,68.124,3.985
2.047,474.433,72.619,4.097
2.097,498.426,77.259,4.076
2.147,522.974,82.029,4.028
2.196,547.271,86.761,4.051
2.245,572.335,91.652,4.088
2.295,598.471,96.767,4.189
2.345,625.123,102.011,4.164
2.395,652.277,107.397,4.137
2.439,676.514,112.247,4.163
2.486,703.021,117.593,4.246
2.536,731.539,123.382,4.274
2.586,760.528,129.29,4.233
2.634,788.753,135.056,4.262
2.684,818.644,141.176,4.356
2.734,848.981,147.417,4.316
2.784,879.752,153.79,4.309
2.826,906.295,159.322,4.37
2.876,937.851,165.932,4.396
2.926,969.823,172.648,4.382
2.975,1001.455,179.302,4.428
3.025,1034.159,186.198,4.474
3.075,1067.072,193.162,4.468
3.125,1100.009,200.153,4.463
3.175,1132.838,207.144,4.473
3.225,1165.503,214.119,4.48
# Event BURNOUT occurred at t=3.24 seconds
3.24,1175.073,216.165,4.47
3.262,1189.395,219.228,4.467
3.295,1210.803,223.812,4.473
3.345,1242.747,230.661,4.468
3.395,1274.731,237.53,4.478
3.445,1306.512,244.371,4.455
3.495,1338.092,251.188,4.45
3.545,1369.472,257.982,4.468
3.595,1400.656,264.746,4.43
3.645,1431.646,271.477,4.457
3.695,1462.443,278.178,4.457
3.745,1493.047,284.854,4.429
3.795,1523.459,291.51,4.441
3.845,1553.681,298.144,4.452
3.895,1583.716,304.75,4.444
3.945,1613.566,311.329,4.439
3.995,1643.232,317.88,4.43
4.045,1672.716,324.402,4.448
4.095,1702.018,330.899,4.444
4.145,1731.141,337.371,4.442
4.195,1760.084,343.82,4.438
4.245,1788.849,350.244,4.446
4.295,1817.438,356.643,4.433
4.345,1845.852,363.022,4.415
4.395,1874.091,369.381,4.416
4.445,1902.156,375.72,4.438
4.495,1930.05,382.036,4.417
4.545,1957.774,388.327,4.408
4.595,1985.33,394.591,4.437
4.645,2012.719,400.833,4.424
4.695,2039.941,407.054,4.423
4.745,2066.998,413.253,4.426
4.795,2093.891,419.429,4.411
4.845,2120.619,425.586,4.396
4.895,2147.185,431.726,4.396
4.945,2173.589,437.849,4.426
4.995,2199.833,443.952,4.401
5.045,2225.918,450.032,4.384
5.095,2251.848,456.086,4.378
5.145,2277.621,462.115,4.41
5.195,2303.24,468.123,4.413
5.245,2328.704,474.111,4.397
5.295,2354.013,480.082,4.382
5.345,2379.169,486.037,4.387
5.395,2404.171,491.978,4.395
5.445,2429.022,497.901,4.396
5.495,2453.723,503.804,4.398
5.545,2478.276,509.686,4.405
5.595,2502.681,515.548,4.39
5.645,2526.939,521.39,4.412
5.695,2551.051,527.214,4.402
5.745,2575.017,533.019,4.379
5.795,2598.839,538.803,4.401
5.845,2622.518,544.568,4.403
5.895,2646.053,550.317,4.399
5.945,2669.445,556.049,4.357
5.995,2692.695,561.768,4.345
6.045,2715.802,567.476,4.367
6.095,2738.768,573.17,4.397
6.145,2761.595,578.847,4.357
6.195,2784.285,584.503,4.353
6.245,2806.838,590.138,4.366
6.295,2829.255,595.753,4.353
6.345,2851.537,601.348,4.398
6.395,2873.684,606.928,4.343
6.445,2895.694,612.496,4.303
6.495,2917.568,618.056,4.316
6.545,2939.307,623.607,4.382
6.595,2960.912,629.144,4.344
6.645,2982.387,634.662,4.328
6.695,3003.732,640.159,4.336
6.745,3024.948,645.638,4.367
6.795,3046.034,651.1,4.372
6.845,3066.99,656.548,4.358
6.895,3087.817,661.986,4.378
6.945,3108.516,667.41,4.363
6.995,3129.087,672.822,4.385
7.045,3149.53,678.222,4.379
7.095,3169.848,683.608,4.327
7.145,3190.04,688.976,4.311
7.195,3210.11,694.325,4.306
7.245,3230.056,699.655,4.33
7.295,3249.88,704.969,4.378
7.345,3269.58,710.269,4.323
7.395,3289.155,715.561,4.274
7.445,3308.607,720.847,4.281
7.495,3327.934,726.127,4.317
7.545,3347.139,731.398,4.349
7.595,3366.223,736.658,4.361
7.645,3385.186,741.907,4.329
7.695,3404.03,747.141,4.304
7.745,3422.757,752.358,4.29
7.795,3441.367,757.557,4.288
7.845,3459.861,762.739,4.315
7.895,3478.238,767.905,4.33
7.945,3496.499,773.057,4.337
7.995,3514.644,778.194,4.371
8.045,3532.673,783.32,4.337
8.095,3550.585,788.436,4.281
8.145,3568.381,793.546,4.223
8.195,3586.059,798.652,4.243
8.245,3603.62,803.754,4.292
8.295,3621.066,808.849,4.341
8.345,3638.398,813.934,4.317
8.395,3655.618,819.006,4.306
8.445,3672.726,824.064,4.275
8.495,3689.725,829.105,4.218
8.545,3706.613,834.128,4.224
8.595,3723.394,839.133,4.234
8.645,3740.065,844.122,4.311
8.695,3756.626,849.097,4.31
8.745,3773.077,854.064,4.233
8.795,3789.416,859.027,4.228
8.845,3805.643,863.986,4.193
8.895,3821.758,868.943,4.204
8.945,3837.763,873.897,4.298
8.995,3853.658,878.844,4.329
9.045,3869.445,883.783,4.353
9.095,3885.125,888.712,4.284
9.145,3900.699,893.627,4.188
9.195,3916.169,898.525,4.166
9.245,3931.536,903.405,4.187
9.295,3946.799,908.269,4.266
9.345,3961.958,913.12,4.356
9.395,3977.013,917.961,4.291
9.445,3991.961,922.795,4.216
9.495,4006.803,927.627,4.194
9.545,4021.538,932.455,4.233
9.595,4036.168,937.28,4.232
9.645,4050.693,942.101,4.301
9.695,4065.113,946.915,4.362
9.745,4079.431,951.72,4.289
9.795,4093.648,956.515,4.245
9.845,4107.764,961.297,4.205
9.895,4121.779,966.066,4.246
9.945,4135.695,970.822,4.269
9.995,4149.511,975.568,4.279
10.045,4163.227,980.302,4.284
10.095,4176.843,985.026,4.319
10.145,4190.359,989.742,4.356
10.195,4203.775,994.449,4.3
10.245,4217.091,999.15,4.278
10.295,4230.306,1003.845,4.259
10.345,4243.421,1008.536,4.274
10.395,4256.436,1013.221,4.257
10.445,4269.351,1017.901,4.325
10.495,4282.167,1022.576,4.281
10.545,4294.884,1027.244,4.344
10.595,4307.504,1031.905,4.326
10.645,4320.026,1036.558,4.271
10.695,4332.452,1041.202,4.246
10.745,4344.781,1045.835,4.278
10.795,4357.015,1050.459,4.281
10.845,4369.153,1055.074,4.283
10.895,4381.196,1059.68,4.296
10.945,4393.143,1064.278,4.325
10.995,4404.994,1068.868,4.294
11.045,4416.751,1073.45,4.326
11.095,4428.412,1078.024,4.342
11.145,4439.978,1082.592,4.289
11.195,4451.448,1087.154,4.257
11.245,4462.823,1091.712,4.224
11.295,4474.102,1096.265,4.2
11.345,4485.285,1100.816,4.277
11.395,4496.373,1105.361,4.347
11.445,4507.368,1109.9,4.351
11.495,4518.269,1114.433,4.319
11.545,4529.077,1118.959,4.31
11.595,4539.792,1123.477,4.294
11.645,4550.414,1127.988,4.291
11.695,4560.945,1132.492,4.254
11.745,4571.383,1136.988,4.284
11.795,4581.73,1141.476,4.258
11.845,4591.986,1145.957,4.322
11.895,4602.15,1150.431,4.341
11.945,4612.222,1154.9,4.304
11.995,4622.202,1159.363,4.274
12.045,4632.091,1163.823,4.27
12.095,4641.887,1168.277,4.274
12.145,4651.592,1172.728,4.318
12.195,4661.206,1177.173,4.322
12.245,4670.729,1181.612,4.298
12.295,4680.162,1186.045,4.323
12.345,4689.506,1190.472,4.248
12.395,4698.76,1194.893,4.25
12.445,4707.925,1199.306,4.302
12.495,4717,1203.714,4.297
12.545,4725.987,1208.116,4.226
12.595,4734.885,1212.51,4.231
12.645,4743.694,1216.898,4.228
12.695,4752.415,1221.28,4.24
12.745,4761.049,1225.655,4.255
12.795,4769.594,1230.023,4.191
12.845,4778.051,1234.384,4.247
12.895,4786.421,1238.739,4.31
12.945,4794.703,1243.089,4.339
12.995,4802.896,1247.434,4.276
13.045,4811.001,1251.775,4.243
13.095,4819.018,1256.112,4.167
13.145,4826.945,1260.447,4.165
13.195,4834.783,1264.779,4.173
13.245,4842.533,1269.108,4.159
13.295,4850.194,1273.434,4.252
13.345,4857.767,1277.757,4.313
13.395,4865.253,1282.076,4.294
13.445,4872.652,1286.391,4.329
13.495,4879.964,1290.701,4.315
13.545,4887.189,1295.007,4.294
13.595,4894.328,1299.309,4.25
13.645,4901.381,1303.605,4.224
13.695,4908.349,1307.896,4.197
13.745,4915.231,1312.182,4.169
13.795,4922.028,1316.462,4.269
13.845,4928.741,1320.737,4.296
13.895,4935.367,1325.008,4.233
13.945,4941.909,1329.273,4.178
13.995,4948.366,1333.534,4.211
14.045,4954.739,1337.79,4.112
14.095,4961.027,1342.039,4.087
14.145,4967.232,1346.284,4.126
14.195,4973.353,1350.522,4.099
14.245,4979.391,1354.755,4.128
14.295,4985.345,1358.982,4.183
