# L1420 - 0 wind (Up to date)
# 721 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (97.4 ft/s)
#
# Time (s),Altitude (ft),Lateral distance (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.446e-4,1.265e-5,NaN
0.02,0.003,2.412e-4,NaN
0.03,0.014,0.001,NaN
0.04,0.039,0.003,NaN
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.083,0.007,NaN
0.06,0.146,0.013,NaN
0.07,0.23,0.02,NaN
0.08,0.335,0.029,NaN
0.09,0.46,0.04,NaN
0.1,0.607,0.053,NaN
0.11,0.777,0.068,NaN
0.12,0.969,0.085,NaN
0.13,1.183,0.104,NaN
0.14,1.422,0.124,NaN
0.15,1.683,0.147,NaN
0.16,1.967,0.172,NaN
0.17,2.275,0.199,NaN
0.18,2.606,0.228,NaN
0.19,2.96,0.259,NaN
0.2,3.337,0.292,NaN
0.21,3.738,0.327,NaN
0.22,4.161,0.364,NaN
0.23,4.608,0.403,NaN
0.24,5.077,0.444,NaN
0.25,5.57,0.487,NaN
0.26,6.086,0.532,NaN
0.27,6.625,0.58,NaN
0.28,7.188,0.629,NaN
0.29,7.773,0.68,NaN
0.3,8.381,0.733,NaN
0.31,9.012,0.788,NaN
0.32,9.667,0.846,NaN
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,10.344,0.905,NaN
0.345,11.403,0.998,3.567
0.368,13.089,1.147,3.561
0.401,15.835,1.392,3.555
0.451,20.383,1.804,3.551
0.501,25.502,2.272,3.552
0.551,31.191,2.796,3.557
0.601,37.454,3.378,3.565
0.651,44.292,4.017,3.576
0.701,51.708,4.713,3.591
0.751,59.707,5.467,3.608
0.801,68.29,6.279,3.629
0.851,77.461,7.151,3.653
0.901,87.223,8.083,3.679
0.951,97.577,9.076,3.707
1.001,108.527,10.132,3.737
1.051,120.077,11.253,3.768
1.101,132.228,12.439,3.783
1.151,144.985,13.692,3.785
1.201,158.353,15.016,3.791
1.251,172.334,16.41,3.8
1.301,186.932,17.878,3.814
1.351,202.152,19.419,3.834
1.401,217.995,21.036,3.858
1.451,234.467,22.728,3.886
1.501,251.57,24.495,3.916
1.551,269.306,26.337,3.938
1.601,287.672,28.252,3.944
1.651,306.663,30.239,3.955
1.701,326.275,32.297,3.972
1.751,346.503,34.426,3.994
1.801,367.342,36.625,4.021
1.851,388.786,38.895,4.05
1.901,410.83,41.237,4.06
1.951,433.47,43.652,4.072
2.001,456.698,46.14,4.09
2.051,480.509,48.702,4.112
2.101,504.895,51.336,4.138
2.151,529.845,54.041,4.156
2.201,555.351,56.813,4.168
2.251,581.402,59.652,4.185
2.301,607.989,62.556,4.207
2.351,635.101,65.525,4.232
2.401,662.73,68.559,4.246
2.451,690.864,71.658,4.262
2.501,719.493,74.822,4.281
2.551,748.609,78.051,4.304
2.601,778.203,81.341,4.322
2.651,808.268,84.692,4.337
2.701,838.795,88.103,4.356
2.751,869.777,91.571,4.378
2.801,901.204,95.098,4.396
2.851,933.069,98.684,4.413
2.901,965.364,102.328,4.433
2.951,998.076,106.029,4.455
3.001,1031.174,109.783,4.469
3.051,1064.561,113.577,4.477
3.101,1098.067,117.394,4.487
3.151,1131.521,121.213,4.489
3.201,1164.83,125.024,4.486
# Event BURNOUT occurred at t=3.24 seconds
3.24,1190.521,127.971,4.484
3.29,1223.491,131.76,4.484
3.34,1256.253,135.536,4.481
3.39,1288.809,139.296,4.477
3.44,1321.162,143.041,4.476
3.49,1353.312,146.771,4.476
3.54,1385.263,150.488,4.471
3.59,1417.014,154.19,4.468
3.64,1448.568,157.88,4.467
3.69,1479.927,161.556,4.466
3.74,1511.092,165.218,4.462
3.79,1542.065,168.866,4.46
3.84,1572.847,172.501,4.46
3.89,1603.441,176.123,4.458
3.94,1633.846,179.732,4.455
3.99,1664.065,183.329,4.453
4.04,1694.1,186.913,4.453
4.09,1723.951,190.485,4.451
4.14,1753.621,194.044,4.448
4.19,1783.11,197.591,4.446
4.24,1812.42,201.126,4.446
4.29,1841.552,204.648,4.444
4.34,1870.508,208.159,4.442
4.39,1899.288,211.658,4.44
4.44,1927.895,215.146,4.44
4.49,1956.329,218.623,4.438
4.54,1984.592,222.088,4.436
4.59,2012.684,225.542,4.435
4.64,2040.608,228.985,4.434
4.69,2068.364,232.416,4.433
4.74,2095.953,235.837,4.431
4.79,2123.377,239.247,4.43
4.84,2150.636,242.647,4.429
4.89,2177.732,246.036,4.429
4.94,2204.667,249.415,4.427
4.99,2231.44,252.783,4.425
5.04,2258.053,256.141,4.424
5.09,2284.508,259.489,4.424
5.14,2310.804,262.827,4.423
5.19,2336.944,266.155,4.421
5.24,2362.928,269.473,4.42
5.29,2388.757,272.782,4.419
5.34,2414.432,276.081,4.419
5.39,2439.954,279.37,4.417
5.44,2465.324,282.651,4.416
5.49,2490.544,285.921,4.415
5.54,2515.613,289.183,4.414
5.59,2540.533,292.435,4.414
5.64,2565.305,295.678,4.413
5.69,2589.929,298.913,4.411
5.74,2614.407,302.138,4.41
5.79,2638.739,305.355,4.41
5.84,2662.927,308.563,4.409
5.89,2686.97,311.763,4.408
5.94,2710.871,314.954,4.407
5.99,2734.629,318.136,4.406
6.04,2758.245,321.31,4.405
6.09,2781.721,324.476,4.404
6.14,2805.057,327.633,4.404
6.19,2828.253,330.783,4.403
6.24,2851.312,333.924,4.402
6.29,2874.232,337.058,4.401
6.34,2897.016,340.183,4.4
6.39,2919.663,343.301,4.399
6.44,2942.175,346.411,4.398
6.49,2964.552,349.513,4.397
6.54,2986.795,352.608,4.397
6.59,3008.905,355.695,4.396
6.64,3030.882,358.775,4.395
6.69,3052.728,361.847,4.395
6.74,3074.441,364.912,4.394
6.79,3096.024,367.969,4.393
6.84,3117.478,371.02,4.393
6.89,3138.801,374.063,4.392
6.94,3159.996,377.099,4.391
6.99,3181.063,380.129,4.39
7.04,3202.002,383.151,4.389
7.09,3222.815,386.166,4.389
7.14,3243.501,389.175,4.388
7.19,3264.062,392.177,4.388
7.24,3284.497,395.172,4.387
7.29,3304.808,398.16,4.387
7.34,3324.995,401.142,4.386
7.39,3345.059,404.118,4.385
7.44,3364.999,407.087,4.385
7.49,3384.818,410.049,4.384
7.54,3404.515,413.006,4.383
7.59,3424.09,415.956,4.382
7.64,3443.545,418.899,4.382
7.69,3462.88,421.837,4.381
7.74,3482.096,424.769,4.381
7.79,3501.192,427.694,4.38
7.84,3520.17,430.613,4.379
7.89,3539.029,433.527,4.379
7.94,3557.771,436.434,4.378
7.99,3576.397,439.336,4.378
8.04,3594.905,442.232,4.377
8.09,3613.297,445.122,4.377
8.14,3631.574,448.007,4.376
8.19,3649.736,450.885,4.375
8.24,3667.783,453.759,4.375
8.29,3685.715,456.626,4.374
8.34,3703.534,459.489,4.374
8.39,3721.24,462.345,4.373
8.44,3738.832,465.197,4.373
8.49,3756.312,468.043,4.372
8.54,3773.681,470.883,4.372
8.59,3790.937,473.719,4.371
8.64,3808.082,476.549,4.371
8.69,3825.117,479.374,4.37
8.74,3842.041,482.194,4.37
8.79,3858.856,485.009,4.369
8.84,3875.56,487.819,4.369
8.89,3892.156,490.623,4.368
8.94,3908.643,493.423,4.368
8.99,3925.021,496.218,4.367
9.04,3941.292,499.008,4.367
9.09,3957.455,501.794,4.366
9.14,3973.511,504.574,4.366
9.19,3989.46,507.35,4.365
9.24,4005.302,510.121,4.365
9.29,4021.038,512.887,4.364
9.34,4036.669,515.649,4.364
9.39,4052.194,518.406,4.364
9.44,4067.614,521.159,4.363
9.49,4082.93,523.907,4.363
9.54,4098.141,526.65,4.362
9.59,4113.248,529.39,4.362
9.64,4128.251,532.125,4.361
9.69,4143.151,534.855,4.361
9.74,4157.948,537.581,4.36
9.79,4172.643,540.303,4.36
9.84,4187.235,543.021,4.359
9.89,4201.724,545.735,4.359
9.94,4216.113,548.444,4.359
9.99,4230.399,551.149,4.358
10.04,4244.585,553.851,4.358
10.09,4258.67,556.548,4.357
10.14,4272.654,559.241,4.357
10.19,4286.538,561.93,4.357
10.24,4300.322,564.615,4.356
10.29,4314.006,567.296,4.356
10.34,4327.591,569.974,4.355
10.39,4341.077,572.647,4.355
10.44,4354.465,575.317,4.355
10.49,4367.753,577.983,4.354
10.54,4380.944,580.645,4.354
10.59,4394.036,583.303,4.353
10.64,4407.031,585.958,4.353
10.69,4419.928,588.609,4.352
10.74,4432.729,591.257,4.352
10.79,4445.432,593.901,4.352
10.84,4458.038,596.541,4.351
10.89,4470.549,599.178,4.351
10.94,4482.963,601.811,4.35
10.99,4495.281,604.441,4.35
11.04,4507.503,607.068,4.349
11.09,4519.63,609.691,4.349
11.14,4531.662,612.31,4.349
11.19,4543.599,614.927,4.348
11.24,4555.441,617.54,4.348
11.29,4567.189,620.149,4.347
11.34,4578.843,622.756,4.347
11.39,4590.402,625.359,4.347
11.44,4601.868,627.959,4.346
11.49,4613.24,630.556,4.346
11.54,4624.518,633.149,4.345
11.59,4635.704,635.74,4.345
11.64,4646.797,638.327,4.344
11.69,4657.797,640.912,4.344
11.74,4668.704,643.493,4.343
11.79,4679.519,646.071,4.343
11.84,4690.242,648.646,4.342
11.89,4700.873,651.219,4.342
11.94,4711.413,653.788,4.341
11.99,4721.861,656.355,4.341
12.04,4732.217,658.918,4.34
12.09,4742.483,661.479,4.34
12.14,4752.657,664.037,4.339
12.19,4762.741,666.592,4.339
12.24,4772.735,669.144,4.338
12.29,4782.637,671.694,4.337
12.34,4792.45,674.24,4.337
12.39,4802.173,676.784,4.336
12.44,4811.806,679.326,4.336
12.49,4821.349,681.864,4.335
12.54,4830.803,684.4,4.334
12.59,4840.168,686.934,4.333
12.64,4849.443,689.465,4.333
12.69,4858.63,691.993,4.332
12.74,4867.727,694.518,4.331
12.79,4876.736,697.041,4.33
12.84,4885.657,699.562,4.33
12.89,4894.489,702.08,4.329
12.94,4903.233,704.595,4.328
12.99,4911.889,707.108,4.327
13.04,4920.458,709.619,4.326
13.09,4928.938,712.127,4.325
13.14,4937.331,714.633,4.324
13.19,4945.637,717.136,4.323
13.24,4953.855,719.637,4.322
13.29,4961.987,722.136,4.321
13.34,4970.031,724.632,4.32
13.39,4977.989,727.127,4.318
13.44,4985.859,729.618,4.317
13.49,4993.644,732.108,4.316
13.54,5001.342,734.595,4.314
13.59,5008.953,737.08,4.313
13.64,5016.479,739.563,4.311
13.69,5023.919,742.043,4.309
13.74,5031.272,744.521,4.308
13.79,5038.54,746.998,4.306
13.84,5045.723,749.472,4.304
13.89,5052.82,751.943,4.302
13.94,5059.831,754.413,4.3
13.99,5066.758,756.881,4.297
14.04,5073.599,759.346,4.295
14.09,5080.355,761.809,4.292
14.14,5087.026,764.271,4.29
14.19,5093.613,766.73,4.287
14.24,5100.115,769.187,4.284
14.29,5106.532,771.642,4.281
14.34,5112.865,774.095,4.278
14.39,5119.114,776.546,4.274
14.44,5125.278,778.995,4.271
14.49,5131.359,781.442,4.267
14.54,5137.355,783.887,4.262
14.59,5143.268,786.33,4.258
14.64,5149.097,788.771,4.253
