# L1420 - 5 wind (Up to date)
# 720 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (97.6 ft/s)
#
# Time (s),Altitude (ft),Lateral distance (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.446e-4,1.265e-5,NaN
0.02,0.003,2.412e-4,NaN
0.03,0.014,0.001,NaN
0.04,0.039,0.003,NaN
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.083,0.007,NaN
0.06,0.146,0.013,NaN
0.07,0.23,0.02,NaN
0.08,0.335,0.029,NaN
0.09,0.46,0.04,NaN
0.1,0.607,0.053,NaN
0.11,0.777,0.068,NaN
0.12,0.969,0.085,NaN
0.13,1.183,0.104,NaN
0.14,1.422,0.124,NaN
0.15,1.683,0.147,NaN
0.16,1.967,0.172,NaN
0.17,2.275,0.199,NaN
0.18,2.606,0.228,NaN
0.19,2.96,0.259,NaN
0.2,3.337,0.292,NaN
0.21,3.737,0.327,NaN
0.22,4.161,0.364,NaN
0.23,4.607,0.403,NaN
0.24,5.077,0.444,NaN
0.25,5.57,0.487,NaN
0.26,6.086,0.532,NaN
0.27,6.625,0.58,NaN
0.28,7.187,0.629,NaN
0.29,7.772,0.68,NaN
0.3,8.38,0.733,NaN
0.31,9.011,0.788,NaN
0.32,9.666,0.846,NaN
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,10.343,0.905,NaN
0.345,11.402,0.998,2.369
0.368,13.087,1.146,2.442
0.401,15.833,1.388,2.535
0.451,20.381,1.792,2.638
0.501,25.5,2.249,2.754
0.551,31.19,2.76,2.863
0.601,37.452,3.327,2.982
0.651,44.29,3.952,3.098
0.701,51.706,4.638,3.209
0.751,59.703,5.39,3.357
0.801,68.284,6.214,3.521
0.851,77.45,7.115,3.632
0.901,87.204,8.101,3.713
0.951,97.548,9.177,3.68
1.001,108.483,10.351,3.579
1.051,120.012,11.631,3.53
1.101,132.137,13.023,3.486
1.151,144.86,14.533,3.522
1.201,158.187,16.165,3.539
1.251,172.119,17.922,3.592
1.301,186.662,19.803,3.663
1.351,201.818,21.806,3.75
1.401,217.593,23.926,3.848
1.451,233.991,26.158,3.825
1.501,251.016,28.493,3.774
1.551,268.672,30.924,3.751
1.601,286.955,33.447,3.775
1.651,305.862,36.06,3.84
1.701,325.387,38.766,3.935
1.751,345.523,41.573,4.001
1.801,366.265,44.487,3.968
1.851,387.607,47.516,3.949
1.901,409.542,50.665,3.945
1.951,432.064,53.937,3.995
2.001,455.168,57.329,4.054
2.051,478.849,60.836,4.109
2.101,503.1,64.446,4.088
2.151,527.912,68.152,4.066
2.201,553.276,71.948,4.095
2.251,579.183,75.833,4.152
2.301,605.621,79.813,4.178
2.351,632.579,83.898,4.15
2.401,660.046,88.094,4.176
2.451,688.011,92.401,4.228
2.501,716.466,96.81,4.286
2.551,745.403,101.312,4.247
2.601,774.816,105.895,4.246
2.651,804.697,110.553,4.281
2.701,835.038,115.289,4.353
2.751,865.828,120.113,4.33
2.801,897.058,125.037,4.327
2.85,927.979,129.947,4.378
2.9,960.053,135.067,4.43
2.95,992.541,140.272,4.408
3,1025.413,145.546,4.434
3.05,1058.575,150.875,4.479
3.1,1091.857,156.238,4.473
3.15,1125.09,161.611,4.445
3.2,1158.177,166.981,4.466
# Event BURNOUT occurred at t=3.24 seconds
3.24,1184.458,171.259,4.487
3.29,1217.202,176.598,4.446
3.34,1249.741,181.907,4.448
3.39,1282.076,187.187,4.469
3.44,1314.208,192.444,4.457
3.49,1346.137,197.682,4.45
3.54,1377.866,202.905,4.454
3.59,1409.396,208.11,4.469
3.64,1440.73,213.293,4.448
3.69,1471.87,218.452,4.448
3.74,1502.817,223.587,4.464
3.79,1533.572,228.702,4.456
3.84,1564.137,233.799,4.45
3.89,1594.513,238.878,4.443
3.94,1624.701,243.939,4.449
3.99,1654.703,248.983,4.447
4.04,1684.522,254.006,4.431
4.09,1714.158,259.008,4.433
4.14,1743.613,263.988,4.448
4.19,1772.889,268.95,4.434
4.24,1801.985,273.895,4.436
4.29,1830.904,278.824,4.443
4.34,1859.646,283.735,4.438
4.39,1888.214,288.628,4.441
4.44,1916.609,293.503,4.428
4.49,1944.831,298.362,4.433
4.54,1972.882,303.204,4.437
4.59,2000.764,308.03,4.432
4.64,2028.476,312.84,4.432
4.69,2056.021,317.634,4.428
4.74,2083.401,322.411,4.429
4.79,2110.615,327.171,4.418
4.84,2137.666,331.913,4.415
4.89,2164.554,336.638,4.426
4.94,2191.281,341.347,4.427
4.99,2217.847,346.04,4.423
5.04,2244.253,350.719,4.42
5.09,2270.501,355.383,4.415
5.14,2296.59,360.033,4.406
5.19,2322.524,364.671,4.404
5.24,2348.301,369.295,4.409
5.29,2373.923,373.907,4.409
5.34,2399.392,378.503,4.397
5.39,2424.71,383.082,4.38
5.44,2449.876,387.643,4.401
5.49,2474.892,392.189,4.401
5.54,2499.759,396.72,4.404
5.59,2524.476,401.238,4.39
5.64,2549.045,405.745,4.379
5.69,2573.466,410.242,4.386
5.74,2597.741,414.728,4.4
5.79,2621.87,419.202,4.389
5.84,2645.855,423.661,4.366
5.89,2669.697,428.103,4.374
5.94,2693.397,432.53,4.387
5.99,2716.956,436.941,4.398
6.04,2740.373,441.341,4.381
6.09,2763.649,445.731,4.378
6.14,2786.784,450.112,4.367
6.19,2809.781,454.483,4.376
6.24,2832.638,458.844,4.394
6.29,2855.359,463.193,4.372
6.34,2877.943,467.527,4.352
6.39,2900.392,471.845,4.346
6.44,2922.707,476.147,4.371
6.49,2944.888,480.436,4.389
6.54,2966.935,484.713,4.372
6.59,2988.848,488.981,4.362
6.64,3010.628,493.241,4.348
6.69,3032.275,497.493,4.349
6.74,3053.791,501.738,4.364
6.79,3075.176,505.974,4.382
6.84,3096.43,510.199,4.366
6.89,3117.556,514.412,4.343
6.94,3138.554,518.611,4.326
6.99,3159.426,522.794,4.337
7.04,3180.17,526.963,4.372
7.09,3200.789,531.12,4.388
7.14,3221.281,535.267,4.359
7.19,3241.647,539.406,4.319
7.24,3261.887,543.539,4.312
7.29,3282.002,547.668,4.323
7.34,3301.992,551.79,4.38
7.39,3321.859,555.904,4.365
7.44,3341.603,560.006,4.324
7.49,3361.226,564.094,4.299
7.54,3380.729,568.168,4.304
7.59,3400.112,572.227,4.335
7.64,3419.375,576.274,4.372
7.69,3438.519,580.311,4.356
7.74,3457.542,584.341,4.319
7.79,3476.446,588.365,4.293
7.84,3495.23,592.385,4.305
7.89,3513.895,596.4,4.332
7.94,3532.442,600.409,4.359
7.99,3550.872,604.41,4.369
8.04,3569.186,608.402,4.339
8.09,3587.384,612.383,4.315
8.14,3605.468,616.353,4.305
8.19,3623.437,620.31,4.299
8.24,3641.293,624.255,4.303
8.29,3659.035,628.188,4.342
8.34,3676.665,632.11,4.359
8.39,3694.181,636.026,4.347
8.44,3711.583,639.935,4.32
8.49,3728.873,643.838,4.304
8.54,3746.05,647.736,4.289
8.59,3763.114,651.631,4.296
8.64,3780.067,655.521,4.327
8.69,3796.908,659.406,4.342
8.74,3813.639,663.284,4.366
8.79,3830.26,667.154,4.333
8.84,3846.772,671.015,4.308
8.89,3863.175,674.866,4.288
8.94,3879.471,678.706,4.284
8.99,3895.659,682.536,4.297
9.04,3911.741,686.355,4.315
9.09,3927.715,690.165,4.344
9.14,3943.583,693.967,4.352
9.19,3959.343,697.762,4.339
9.24,3974.997,701.552,4.325
9.29,3990.545,705.336,4.308
9.34,4005.986,709.116,4.299
9.39,4021.321,712.892,4.307
9.44,4036.551,716.662,4.321
9.49,4051.675,720.428,4.356
9.54,4066.696,724.188,4.346
9.59,4081.612,727.94,4.314
9.64,4096.426,731.684,4.3
9.69,4111.136,735.419,4.297
9.74,4125.745,739.145,4.297
9.79,4140.251,742.863,4.301
9.84,4154.655,746.573,4.335
9.89,4168.958,750.276,4.344
9.94,4183.159,753.973,4.292
9.99,4197.258,757.665,4.284
10.04,4211.255,761.355,4.275
10.09,4225.15,765.041,4.292
10.14,4238.945,768.723,4.303
10.19,4252.639,772.401,4.337
10.24,4266.233,776.074,4.348
10.29,4279.727,779.74,4.33
10.34,4293.122,783.401,4.303
10.39,4306.418,787.053,4.294
10.44,4319.617,790.699,4.275
10.49,4332.717,794.337,4.266
10.54,4345.72,797.966,4.256
10.59,4358.626,801.588,4.28
10.64,4371.435,805.202,4.294
10.69,4384.147,808.809,4.331
10.74,4396.762,812.41,4.336
10.79,4409.28,816.006,4.303
10.84,4421.701,819.598,4.285
10.89,4434.025,823.187,4.257
10.94,4446.251,826.773,4.251
10.99,4458.382,830.357,4.235
11.04,4470.415,833.938,4.223
11.09,4482.352,837.517,4.235
11.14,4494.194,841.094,4.303
11.19,4505.939,844.667,4.349
11.24,4517.59,848.235,4.275
11.29,4529.148,851.797,4.244
11.34,4540.611,855.352,4.212
11.39,4551.982,858.899,4.191
11.44,4563.26,862.438,4.206
11.49,4574.445,865.969,4.232
11.54,4585.538,869.493,4.251
11.59,4596.538,873.011,4.27
11.64,4607.446,876.523,4.291
11.69,4618.261,880.029,4.337
11.74,4628.984,883.531,4.344
11.79,4639.615,887.028,4.33
11.84,4650.153,890.521,4.276
11.89,4660.599,894.012,4.243
11.94,4670.952,897.499,4.251
11.99,4681.214,900.985,4.283
12.04,4691.383,904.467,4.29
12.09,4701.461,907.946,4.344
12.14,4711.448,911.421,4.339
12.19,4721.344,914.891,4.323
12.24,4731.15,918.358,4.326
12.29,4740.865,921.82,4.333
12.34,4750.49,925.278,4.325
12.39,4760.025,928.731,4.342
12.44,4769.47,932.181,4.315
12.49,4778.826,935.627,4.292
12.54,4788.091,939.07,4.305
12.59,4797.267,942.51,4.329
12.64,4806.353,945.946,4.312
12.69,4815.351,949.378,4.293
12.74,4824.26,952.806,4.265
12.79,4833.081,956.229,4.276
12.84,4841.813,959.648,4.274
12.89,4850.458,963.062,4.257
12.94,4859.014,966.472,4.246
12.99,4867.483,969.876,4.208
13.04,4875.865,973.276,4.22
13.09,4884.16,976.671,4.244
13.14,4892.367,980.062,4.262
13.19,4900.487,983.448,4.263
13.24,4908.521,986.829,4.274
13.29,4916.467,990.207,4.291
13.34,4924.327,993.581,4.307
13.39,4932.099,996.951,4.332
13.44,4939.785,1000.318,4.335
13.49,4947.384,1003.682,4.309
13.54,4954.897,1007.043,4.29
13.59,4962.323,1010.401,4.282
13.64,4969.662,1013.757,4.271
13.69,4976.915,1017.11,4.246
13.74,4984.081,1020.461,4.245
13.79,4991.16,1023.81,4.189
13.84,4998.154,1027.158,4.183
13.89,5005.061,1030.503,4.226
13.94,5011.881,1033.847,4.237
13.99,5018.616,1037.189,4.225
14.04,5025.266,1040.529,4.253
14.09,5031.829,1043.867,4.312
14.14,5038.308,1047.202,4.313
14.19,5044.701,1050.535,4.281
14.24,5051.01,1053.864,4.236
14.29,5057.235,1057.19,4.219
14.34,5063.375,1060.513,4.195
14.39,5069.431,1063.832,4.148
14.44,5075.404,1067.148,4.125
14.49,5081.293,1070.459,4.085
14.54,5087.099,1073.767,4.026
